"CONTEXT", "ID", "TEXT"
"traveler:JORJI_PASSPORTS","Hey you know what.",".ﺍﺫﺎﻣ ﻢﻠﻌﺗﺃ ،ًﻼﻬﻣ"
"traveler:JORJI_PASSPORTS","Take my passport.",".ﻱﺮﻔﺳ ﺯﺍﻮﺟ ﺬﺧ"
"traveler:JORJI_PASSPORTS","I get another one no problem.",".ﺔﻠﻜﺸﻣ ﻻ ﺮﺧﺁ ﺪﺣﺍﻭ ﻰﻠﻋ ﻞﺼﺣﺄﺳ"
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.",".ﻪﺗﺀﺍﺮﻗ ﻦﻣ ﺖﻴﻬﺘﻧﺍ ﺍﺫﺇ ﻩﺪﻋﺃﻭ ﺭﻮﺸﻨﻤﻟﺍ ﻆﻔﺣﺍ ﻥﻵﺍ"
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","! ﺔﻃﺭﻭ ﻲﻓ ﻊﻗﺃ ﻥﺃ ﺪﻳﺭﺃ ﻻ"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.",".ﻡﺎﻌﻟﺍ ﻦﻣ ﺖﻗﻮﻟﺍ ﺍﺬﻫ ﻲﻓ ﺎًﻘﺣ ﺔﻌﺋﺍﺭ ﻥﺎﺘﺴﻳﺮﺑﻭﺃ"
"traveler:JORJI_PASSPORTS","Lots of snow.",".ﺞﻠﺜﻟﺍ ﻦﻣ ﺮﻴﺜﻜﻟﺍ"
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.",".ﺔﻠﺋﺎﻌﻠﻟ ﺮﻔﺴﻟﺍ ﺕﺍﺯﺍﻮﺟ ﻦﻣ ﺪﻳﺰﻤﻟﺍ ﻰﻠﻋ ﻞﺼﺤﺘﺳ ﻦﻳﺃ ﻦﻣ ﺍًﺪﻛﺄﺘﻣ ﺖﺴﻟ"
"traveler:JORJI_PASSPORTS","But you smart guy.",".ﻲﻛﺫ ﻞﺟﺭ ﻚﻨﻜﻟ"
"traveler:JORJI_PASSPORTS","Probably figure it out!","! ﺮﻣﻷﺍ ﻒﺸﺘﻜﺘﺳ ﺎﻤﺑﺭ"
"traveler:JORJI_PASSPORTS","Good luck.",".ﺍًﺪﻴﻌﺳ ﺎًﻈﺣ"
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","!ﺓﺮﻴﺒﻛ ﺔﻘﻔﺻ ﺖﻘﻘﺣ ﺪﻘﻟ !ﻲﻬﻟﺇ ﺎﻳ"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","!ﻞﻴﺨﺘﺗ ﻻ !ﻢﻴﻈﻋ"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.",".ﻙﺮﻜﺷﺃ ﻥﺃ ﻂﻘﻓ ﺪﻳﺭﺃ .ﺎﻣﻮﻤﻋ"
"traveler:JORJI_GOODBYE","I wait in line just for that!","!ﻚﻟﺫ ﻞﺟﺃ ﻦﻣ ﻂﻘﻓ ﺭﻮﺑﺎﻄﻟﺍ ﻲﻓ ﺮﻈﺘﻧﺃ ﺖﻨﻛ"
"traveler:JORJI_GOODBYE","Maybe I quit now.",".ﻥﻵﺍ ﺐﺤﺴﻧﺃ ﺎﻤﺑﺭ"
"traveler:JORJI_GOODBYE","Haha!","!ﺎﻫﺎﻫ"
"traveler:BROTHEL0","Hello handsome.",".ﺶﺘﻔﻤﻟﺍ ﺎﻬﻳﺃ ﺎﺒﺣﺮﻣ"
"traveler:BROTHEL0","You look bored.",".ﻞﻠﻤﻟﺎﺑ ﺮﻌﺸﺗ ﻚﻧﺃ ﻭﺪﺒﻳ"
"traveler:BROTHEL0","If you want good time, come see us.","ﺖﻗﻭ ﺀﺎﻀﻗ ﺪﻳﺮﺗ ﺖﻨﻛ ﺍﺫﺇ
.ﺎﻨﺗﺭﺎﻳﺰﻟ ﻝﺎﻌﺗ ﻊﺘﻤﻣ"
"traveler:BROTHEL0","I will be around couple months.",".ﻦﻳﺮﻬﺷ ﻲﻟﺍﻮﺣ ﻰﻘﺑﺄﺳ"
"traveler:BROTHEL0","Don't forget to visit.",".ﺎﻧﺭﻭﺰﺗ ﻰﺴﻨﺗ ﻻ"
"traveler:BROTHEL1","Hey there.",".ﺎﺒﺣﺮﻣ"
"traveler:BROTHEL1","I can make you happy any time.",".ﺖﻗﻭ ﻱﺃ ﻲﻓ ﻚﺴﻔﻧ ﺪﻌﺴﺗ ﻥﺃ ﻊﻴﻄﺘﺴﺗ"
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.",".ﻱﺩﺭﻮﻟﺍ ﻮﻨﻳﺯﺎﻜﻟﺍ ﻰﻟﺇ ﻝﺎﻌﺗ"
"traveler:BROTHEL2","Oh. Here.",".ﻞﻀﻔﺗ .ﻩﻭﺃ"
"traveler:BROTHEL2","Please help me.",".ﻲﺗﺪﻋﺎﺴﻣ ﺀﺎﺟﺮﻟﺍ"
"traveler:BROTHEL3","Hello friend.",".ﻲﺒﺣﺎﺻ ﺎﻳ ﺎﺒﺣﺮﻣ"
"traveler:BROTHEL3","You come down, I give you good girl.",".ﺓﺪﻴﺟ ﺓﺎﺘﻓ ﻚﻴﻄﻋﺃ ﺎﻧﺃﻭ ،ﻖﻓﺍﻭ"
"traveler:BROTHEL3","That little bitch.",".ﺓﺮﻴﻘﺤﻟﺍ ﻚﻠﺗ"
"traveler:BROTHEL3","I break her in two.",".ﻦﻴﻔﺼﻧ ﺎﻫﺮﺴﻛﺃ"
"traveler:BROTHEL3","@You are Dari Ludum?","@؟ﻡﻭﺩﻮﻟ ﻱﺭﺍﺩ ﺖﻧﺃ ﻞﻫ"
"traveler:BROTHEL3","Of course, it says on passport.",".ﺮﻔﺴﻟﺍ ﺯﺍﻮﺟ ﻲﻓ ﺏﻮﺘﻜﻣ ﻪﻧﺇ ،ﻊﺒﻄﻟﺎﺑ"
"traveler:BROTHEL3","@One moment.","@.ﺔﻈﺤﻟ ﺮﻈﺘﻧﺍ"
"traveler:BROTHEL3","What is this shit?","؟ﺀﺍﺮﻬﻟﺍ ﺍﺬﻫ ﺎﻣ"
"traveler:BROTHEL3","Give my papers back.",".ﻲﻗﺍﺭﻭﺃ ﻲﻟ ﺪﻋﺃ"
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@؟ﺩﺍﺮﺘﺴﻴﻟ ﺲﻨﻴﻓ ﺖﻧﺃ"
"traveler:KILLERATHLETE","Damn.",".ﺔﻨﻌﻠﻟﺍ"
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.",".ﻲﻄﻳﺭﻮﺗ ﻢﺗ ﺪﻘﻟ .ﺎﻬﺘﻠﺘﻗ ﺎﻣ ﺎﻧﺃ ،ﻊﻤﺳﺍ"
"traveler:KILLERATHLETE","Do not believe the Republian lies.",".ﻦﻴﻳﺭﻮﻬﻤﺠﻟﺍ ﺐﻳﺫﺎﻛﺃ ﻕﺪﺼﺗ ﻻ"
"traveler:KILLERATHLETE","Let me through.",".ﺮﺒﻋﺃ ﻲﻨﻋﺩ"
"traveler:KILLERATHLETE","Shit.",".ﺎﻘﺤﺳ"
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Today is beautiful day, my friend."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","We finally become free from Antegrian tyranny!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Thank you so much!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Please be kind to my wife, she is just after me."
"traveler:HUSBAND_WIFE0","No! They will kill us!","No! They will kill us!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Please, I beg you."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Let my wife pass. She is coming to you next."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Did you see my husband?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","He made it through, yes?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Where is your entry permit?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Please, I beg you."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","They would not give me permit. I have no choice."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","I will be killed if I return to Antegria."
"traveler:HUSBAND_WIFE1","Thank you.","Thank you."
"traveler:HUSBAND_WIFE1","We will not forget.","We will not forget."
"traveler:HUSBAND_WIFE1","Why?","Why?"
"traveler:HUSBAND_WIFE1","You have doomed me.","You have doomed me."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Why did you turn my husband away?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","I will not leave him to die."
"traveler:HUSBAND_WIFE1","You have doomed us both.","You have doomed us both."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","You see many people, yes?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","I am looking for engineers."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Do me a favor."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Give my card to any engineers you meet."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","I come back in few days."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Pay you 5 credits for each engineer that calls me."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","You make a mistake but I let you fix it."
"traveler:HIRING_ENGINEERS","What is this?","What is this?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Oh. Huh. ; Huh. ; They are hiring?"
"traveler:HIRING_ENGINEERS","I have already.","I have already."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Stop giving to me."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Forget it, take them both. I don't want."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Is good card, yes? ; Thanks ; These were not cheap you know. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","I am back."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","How many engineers did you meet?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","I got no calls."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","You gave my cards to no one."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Thank you for nothing."
"traveler:HIRING_ENGINEERS_END","I get only one call.","I get only one call."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","I'm lucky that he is good lead."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Here is what I promised."
"traveler:HIRING_ENGINEERS_END","I got two calls.","I got two calls."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","One guy, he was good."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Other one not so much."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Thanks anyways."
"traveler:HIRING_ENGINEERS_END","I got three calls.","I got three calls."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Two guys were good."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Last one was a fool. Didn't know basics."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","But is ok. I appreciate."
"traveler:HIRING_ENGINEERS_END","I got four calls.","I got four calls."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Three were civil engineers. Useless."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","I need mechanicals. I told you."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","Anyway, is ok. Last guy very sharp."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Thanks for the help."
"traveler:FRIENDLY_GUARD0","Hello.","Hello."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","I heard that you are from Nirsk?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","I grew up there but I have not been back in many years."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@It is still a shit-hole. As before."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Haha, of course. This is what I remember too."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","I am Sergiu. It is good to meet you."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","I will do my best to keep you safe."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Thank you for yesterday."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","My aim is not like before."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","There is more action at this checkpoint than in the war."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","I fought in Kolechia for 5 years."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","If you think it is bad in Arstotzka, it is ten times worse in Kolechia."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","I do not blame them for coming here."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","Anyways, you are doing well. Keep it up."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Friend, how are you?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","I have a small favor to ask."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","During the war, I met a beautiful girl."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","I think about her every moment."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Yesterday I receive word that she is finally coming here."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Please, let her pass and I will be in your debt."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Her name is Elisa."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Thank you for everything."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa is so happy here."
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","She says our first son will have your name."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","This is fine but I told her I want a daughter first!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","I would like to show the locket to her."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Do you still have it?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Ah, I missed not having this with me."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","It is not much, but we have found a small way to thank you."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisa will deliver it to your home. I hope that it helps."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Tomorrow I am transferred to another post."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Stay safe my friend."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa did not come."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@She arrived, but her papers were not in order."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Tell her to try again with the correct documents."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","You know this is impossible."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","If you have the locket, give it back to me."
"traveler:ELISA","Do you know Sergiu?","Do you know Sergiu?"
"traveler:ELISA","He said you were friend. That you would help.","He said you were friend. That you would help."
"traveler:ELISA","Please, my family is gone.","Please, my family is gone."
"traveler:ELISA","I have only Sergiu left.","I have only Sergiu left."
"traveler:ELISA","@You do not have the required documentation.","@You do not have the required documentation."
"traveler:ELISA","I tried for so long.","I tried for so long."
"traveler:ELISA","They would not allow me to leave.","They would not allow me to leave."
"traveler:ELISA","I am denied?","I am denied?"
"traveler:ELISA","I understand.","I understand."
"traveler:ELISA","Please, tell Sergiu I will always love him.","Please, tell Sergiu I will always love him."
"traveler:ELISA","We will be together in another life.","We will be together in another life."
"traveler:ELISA","Return this for him to remember me.","Return this for him to remember me."
"traveler:ELISA","Thank you so much.","Thank you so much."
"traveler:ELISA","I will never forget your kindness.","I will never forget your kindness."
"traveler:ELISA","@He is waiting for you.","@He is waiting for you."
"traveler:ELISA","My love.","My love."
"traveler:ELISA","I miss him.","I miss him."
"traveler:ELISA","@I am sorry. Sergiu was killed.","@I am sorry. Sergiu was killed."
"traveler:ELISA","My Sergiu.","My Sergiu."
"traveler:ELISA","Thank you for your kindness.","Thank you for your kindness."
"traveler:ELISA","There is nothing for me here any more.","There is nothing for me here any more."
"traveler:ELISA","Thank you.","Thank you."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","You detained nobody."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","You detained only one person."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","You detained ${Game/NumDetains} people."
"traveler:PRISON_GUARD0","Hello.","Hello."
"traveler:PRISON_GUARD0","@Are you the spy?","@Are you the spy?"
"traveler:PRISON_GUARD0","What? No.","What? No."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","I am guard here. My name is Calensk."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","They told me I get good position, then send me here."
"traveler:PRISON_GUARD0","This is thanks I get.","This is thanks I get."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Now they pay me almost nothing."
"traveler:PRISON_GUARD0","@They pay us all as much.","@They pay us all as much."
"traveler:PRISON_GUARD0","Yes. But look.","Yes. But look."
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","I get small bonus when you detain people."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","More you detain, more they give me for processing."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","But this is not fair, right? You should get something too."
"traveler:PRISON_GUARD0","So I fix this problem.","So I fix this problem."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","I give you 5 credits from my bonus for every two people you detain."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","Sounds like good deal to me."
"traveler:PRISON_GUARD0","I give money to you after I get paid.","I give money to you after I get paid."
"traveler:PRISON_GUARD0","Let us make the best of this.","Let us make the best of this."
"traveler:PRISON_GUARD3","Here.","Here."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","For bonus and selling bomb parts."
"traveler:PRISON_GUARD3","They move our station to prison.","They move our station to prison."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","We still get bonus so keep detaining.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","I stop visiting you here."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","I will drop off money at your home instead."
"traveler:PRISON_GUARD3","Every other night.","Every other night."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","What is going on?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","I am getting nothing because of you."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Detain more people and we will both benefit."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","Good morning."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","You are not detaining enough people."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","I have nothing to give you."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Detain more to share part of my bonus."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Bonus is good, they pay ok."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","It is not much though."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Maybe you detain more people and we do better."
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@This is not enough."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Yes, I know."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","My wife sick now. Neighbor spreads the flu."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","This is what is left after medicine."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","I give you rest next time."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Maybe you detain more people to make it easier."
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","Here is your cut."
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@There is more from last time."
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","This is all I have now but soon I make up rest."
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","Again it is a little short."
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","Keep detaining and I pay you back soon."
"traveler:PRISON_GUARD_BOMB","What is going on?","What is going on?"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","Oh. Hah."
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","What is this amateur shit?"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@Should we evacuate?"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","For that little thing? No of course not."
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","Just disable it. Open the cover."
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","Stupid fucking terrorist."
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","Could not even add a display."
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@What should I do now?"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","This is poorest bomb I ever see. A simple mind created this."
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","Just cut the wires in order."
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","Ok, all done. Back to work."
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@We should close the checkpoint."
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","Bullshit. I need to earn money today."
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","Give bomb to me."
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","I sell materials and give you cut."
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","What a piece of shit."
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","I doubt it is even worth much."
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","Call the next immigrant."
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","!ﺎﻛﺰﺗﻮﺘﺳﺭﻷ ﺕﻮﻤﻟﺍ"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","You have received no citations."
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","You have received one citation."
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","You have received ${Game/NumCitations} citations."
"traveler:BOSS0","So.~","So.~"
"traveler:BOSS0","You are inspector here.~","You are inspector here.~"
"traveler:BOSS0","That makes you my responsibility.~","That makes you my responsibility.~"
"traveler:BOSS0","You make Arstotzka proud.~","You make Arstotzka proud.~"
"traveler:BOSS0","Hang it on wall here.","Hang it on wall here."
"traveler:BOSS0","I return in 10 days.~","I return in 10 days.~"
"traveler:BOSS0","Maintain your diligence.","Maintain your diligence."
"traveler:BOSS0","Glory to Arstotzka.","Glory to Arstotzka."
"traveler:BOSS0","Perhaps it was mistake to rely on lottery.","Perhaps it was mistake to rely on lottery."
"traveler:BOSS0","Let this motivate you.~","Let this motivate you.~"
"traveler:BOSS0","Do not embarrass me.","Do not embarrass me."
"traveler:BOSS0","It makes me look like fool to trust lottery.~","It makes me look like fool to trust lottery.~"
"traveler:BOSS0","Let this motivate you to improve.~","Let this motivate you to improve.~"
"traveler:BOSS0","Do not embarrass me further.","Do not embarrass me further."
"traveler:BOSS1","It is too early to come all the way out here.","It is too early to come all the way out here."
"traveler:BOSS1","The smell at this checkpoint makes me sick.","The smell at this checkpoint makes me sick."
"traveler:BOSS1","Where is plaque I gave you?","Where is plaque I gave you?"
"traveler:BOSS1","Why is it not on wall?","Why is it not on wall?"
"traveler:BOSS1","What is other shit hanging here?","What is other shit hanging here?"
"traveler:BOSS1","These walls are for official plaques only.","These walls are for official plaques only."
"traveler:BOSS1","Your pay will be docked for violation.","Your pay will be docked for violation."
"traveler:BOSS1","@It will not happen again.","@It will not happen again."
"traveler:BOSS1","At least you are performing well.","At least you are performing well."
"traveler:BOSS1","Continue this honorable service.","Continue this honorable service."
"traveler:BOSS1","At least your performance is not terrible.","At least your performance is not terrible."
"traveler:BOSS1","Do not slip further.","Do not slip further."
"traveler:BOSS1","And your performance is terrible.","And your performance is terrible."
"traveler:BOSS1","Maybe you have forgotten what your job is.","Maybe you have forgotten what your job is."
"traveler:BOSS1","There are many more who can take your place.","There are many more who can take your place."
"traveler:BOSS1","Now.","Now."
"traveler:BOSS1","I have old friend coming through.","I have old friend coming through."
"traveler:BOSS1","Approve her entry.","Approve her entry."
"traveler:BOSS1","She is Shae Piersovska.~","She is Shae Piersovska.~"
"traveler:BOSS1","I do not want to hear of any trouble to her.","I do not want to hear of any trouble to her."
"traveler:BOSS1","Glory to Arstotzka.","Glory to Arstotzka."
"traveler:BOSS2","You little bastard.~","You little bastard.~"
"traveler:BOSS2","Shae thinks I am powerless fool now.","Shae thinks I am powerless fool now."
"traveler:BOSS2","It was made very clear to let her through.","It was made very clear to let her through."
"traveler:BOSS2","Now I must think about the consequences for you.~","Now I must think about the consequences for you.~"
"traveler:BOSS2","Maybe this place not so bad.","Maybe this place not so bad."
"traveler:BOSS2","With everything going on, checkpoint visit is nice break.~","With everything going on, checkpoint visit is nice break.~"
"traveler:BOSS2","You still do not hang the plaques.","You still do not hang the plaques."
"traveler:BOSS2","Why do you not hang both plaques?","Why do you not hang both plaques?"
"traveler:BOSS2","But again you have unauthorized items on wall.","But again you have unauthorized items on wall."
"traveler:BOSS2","I warned before.~","I warned before.~"
"traveler:BOSS2","But what is other shit hanging here?","But what is other shit hanging here?"
"traveler:BOSS2","These walls are for official plaques only.","These walls are for official plaques only."
"traveler:BOSS2","Your pay will be docked for violation.","Your pay will be docked for violation."
"traveler:BOSS2","@It will not happen again.","@It will not happen again."
"traveler:BOSS2","There are no more plaques.","There are no more plaques."
"traveler:BOSS_BUDDY","How is Dimitri?","How is Dimitri?"
"traveler:BOSS_BUDDY","I hear he runs checkpoint now.","I hear he runs checkpoint now."
"traveler:BOSS_BUDDY","It looks like somewhere he would fit in.","It looks like somewhere he would fit in."
"traveler:BOSS_BUDDY","I bet he is still terrible boss.","I bet he is still terrible boss."
"traveler:BOSS_BUDDY","You know, Dimitri asked me to come.","You know, Dimitri asked me to come."
"traveler:BOSS_BUDDY","Said I would get through.","Said I would get through."
"traveler:BOSS_BUDDY","But I guess he is not so much in control.","But I guess he is not so much in control."
"traveler:BOSS_BUDDY","I hope Dimitri tires more easily now.","I hope Dimitri tires more easily now."
"traveler:BOSS_BUDDY","I do not want to stay long in Arstotzka.","I do not want to stay long in Arstotzka."
"traveler:BOSS_BUDDY","Ah, I would not do that.","Ah, I would not do that."
"traveler:BOSS_BUDDY","Dimitri is not forgiving person.","Dimitri is not forgiving person."
"traveler:BOSS_BUDDY","I am no fool.","I am no fool."
"traveler:BOSS_BUDDY","This is inconvenience, but I am not worried for myself.","This is inconvenience, but I am not worried for myself."
"traveler:BOSS_BUDDY","Tell Dimitri I said hello.","Tell Dimitri I said hello."
"traveler:BOSS_ANGRY","You worthless urchin.~","You worthless urchin.~"
"traveler:BOSS_ANGRY","I had to pull many strings to get Shae out.","I had to pull many strings to get Shae out."
"traveler:BOSS_ANGRY","It was made very clear to let her through.~","It was made very clear to let her through.~"
"traveler:BOSS_ANGRY","My patience with you has run out.~","My patience with you has run out.~"
"traveler:KID_KILLER0","Look at it.~","Look at it.~"
"traveler:KID_KILLER0","Simon Wens took her from me.~","Simon Wens took her from me.~"
"traveler:KID_KILLER0","I follow him for many weeks.","I follow him for many weeks."
"traveler:KID_KILLER0","I know he comes here soon.~","I know he comes here soon.~"
"traveler:KID_KILLER0","It is big favor I ask, but is important.","It is big favor I ask, but is important."
